0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/ToDeleteProduct?productId=6 HTTP/1.1" 200 24871
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/css/backend-plugin.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/vendor/remixicon/fonts/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/css/admin-product-view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/css/admin-product-update.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/css/admin-product-delete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/css/backend.css?v=1.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/images/page-img/profile-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/js/admin-product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/images/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/js/chart-custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/js/table-treeview.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/js/customizer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/images/user/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:17 +0800] "GET /RedeemMe/assets/js/backend-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:29 +0800] "GET /RedeemMe/ViewDashboard HTTP/1.1" 200 14336
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:29 +0800] "GET /RedeemMe/assets/css/admin-dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:35 +0800] "GET /RedeemMe/ListProductController HTTP/1.1" 200 23964
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:38 +0800] "GET /RedeemMe/ViewProductController?productId=2 HTTP/1.1" 200 29832
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:38 +0800] "GET /RedeemMe/assets/images/product/02.png HTTP/1.1" 200 16242
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:42 +0800] "GET /RedeemMe/ToUpdateProduct?productId=2 HTTP/1.1" 200 27255
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:51 +0800] "GET /RedeemMe/ViewSupplierNameController HTTP/1.1" 200 18575
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:02 +0800] "GET /RedeemMe/ListSupplierController HTTP/1.1" 200 34235
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:02 +0800] "GET /RedeemMe/assets/css/admin-supplier-view.css HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:02 +0800] "GET /RedeemMe/assets/css/admin-supplier-delete.css HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:02 +0800] "GET /RedeemMe/assets/css/admin-supplier-update.css HTTP/1.1" 200 4394
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:02 +0800] "GET /RedeemMe/assets/js/admin-supplier.js HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:09 +0800] "GET /RedeemMe/ListUserController HTTP/1.1" 200 20276
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:09 +0800] "GET /RedeemMe/assets/css/admin-customer-view.css HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:09 +0800] "GET /RedeemMe/assets/js/admin-customer.js HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:09 +0800] "GET /RedeemMe/assets/css/admin-customer.css HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:13 +0800] "GET /RedeemMe/ListOrderController HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:13 +0800] "GET /RedeemMe/assets/css/admin-order-view.css HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:13 +0800] "GET /RedeemMe/assets/js/admin-order.js HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:13 +0800] "GET /RedeemMe/assets/css/admin-order-update.css HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:17 +0800] "GET /RedeemMe/ViewDashboard HTTP/1.1" 200 14336
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/ListProductController HTTP/1.1" 200 23964
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/css/backend-plugin.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/css/backend.css?v=1.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/css/admin-product-view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/vendor/remixicon/fonts/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/images/user/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/css/admin-product-update.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/css/admin-product-delete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/images/page-img/profile-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/js/admin-product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/js/backend-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/js/table-treeview.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:11:38 +0800] "GET /RedeemMe/assets/js/app.js HTTP/1.1" 304 -
